ISO-CODE-GEOGRAPHIC-UNIT;GEOGRAPHIC-NAME;ISO-CODE-PROVINCE;PROVINCE-NAME;LATITUDE;LONGITUDE;DISTRICT-NAME;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23841;-7.53607;Kabupaten Banyuwangi;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23842;-7.53608;Kabupaten Blitar;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23843;-7.53609;Kabupaten Bojonegoro;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23844;-7.53610;Kabupaten Bondowoso;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23845;-7.53611;Kabupaten Gresik;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23846;-7.53612;Kabupaten Jember;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23847;-7.53613;Kabupaten Jombang;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23848;-7.53614;Kabupaten Kediri;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23849;-7.53615;Kabupaten Lamongan;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23850;-7.53616;Kabupaten Lumajang;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23851;-7.53617;Kabupaten Madiun;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23852;-7.53618;Kabupaten Magetan;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23853;-7.53619;Kabupaten Malang;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23854;-7.53620;Kabupaten Mojokerto;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23855;-7.53621;Kabupaten Nganjuk;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23856;-7.53622;Kabupaten Ngawi;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23857;-7.53623;Kabupaten Pacitan;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23858;-7.53624;Kabupaten Pamekasan;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23859;-7.53625;Kabupaten Pasuruan;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23860;-7.53626;Kabupaten Ponorogo;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23861;-7.53627;Kabupaten Probolinggo;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23862;-7.53628;Kabupaten Sampang;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23863;-7.53629;Kabupaten Sidoarjo;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23864;-7.53630;Kabupaten Situbondo;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23865;-7.53631;Kabupaten Sumenep;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23866;-7.53632;Kabupaten Trenggalek;;;
